curseforge_slug,modrinth_fallback,name,role,install_set
create,create,Create,core-tech,default
immersive-engineering,immersiveengineering,Immersive Engineering,core-tech,default
immersive-petroleum,immersivepetroleum,Immersive Petroleum,core-tech,default
ender-io,enderio,Ender IO,core-tech,default
pneumaticcraft-repressurized,pneumaticcraft-repressurized,PneumaticCraft: Repressurized,core-tech,default
industrial-foregoing,industrial-foregoing,Industrial Foregoing,core-tech,default
mekanism,mekanism,Mekanism,core-tech,default
mekanism-generators,mekanism-generators,Mekanism Generators,core-tech,default
applied-energistics-2,ae2,Applied Energistics 2,core-tech,default
actually-additions,actually-additions,Actually Additions,core-tech,default
rftools-base,rftools-base,RFTools Base,core-tech,default
rftools-utility,rftools-utility,RFTools Utility,core-tech,default
rftools-power,rftools-power,RFTools Power,core-tech,default
rftools-builder,rftools-builder,RFTools Builder,core-tech,default
rftools-dimensions,rftools-dimensions,RFTools Dimensions,late-tech,default
just-dire-things,just-dire-things,Just Dire Things,core-tech,default
draconic-evolution,draconic-evolution,Draconic Evolution,endgame,default
multiblocked2,multiblocked2,Multiblocked2,pack-machinery,default
neovitae,neovitae,Neo Vitae,core-magic,default
ars-nouveau,ars-nouveau,Ars Nouveau,core-magic,default
occultism,occultism,Occultism,core-magic,default
theurgy,theurgy,Theurgy,magic-candidate,default
elemental-craft,elemental-craft,ElementalCraft,magic-candidate,default
kubejs,kubejs,KubeJS,packdev,default
kubejs-create,kubejs-create,KubeJS Create,packdev,default
kubejs-mekanism,kubejs-mekanism,KubeJS Mekanism,packdev,default
lootjs,lootjs,LootJS,packdev,default
almost-unified,almostunified,Almost Unified,packdev,default
astages,astages,AStages,packdev,default
astages-ftb-quests,astages-ftb-quests,AStages FTB Quests,packdev,default
ftb-quests-forge,,FTB Quests,packdev,default
ftb-library-forge,,FTB Library,dependency,default
ftb-teams-forge,,FTB Teams,dependency,default
ftb-chunks-forge,,FTB Chunks,qol-map,default
ftb-ultimine-forge,,FTB Ultimine,qol,default
create-ultimine,create-ultimine,Create Ultimine,qol,default
jei,jei,Just Enough Items,qol,default
jade,jade,Jade,qol,default
jade-addons,jade-addons-forge,Jade Addons,qol,default
mouse-tweaks,mouse-tweaks,Mouse Tweaks,qol-client,default
appleskin,appleskin,AppleSkin,qol,default
controlling,controlling,Controlling,qol-client,default
crafting-tweaks,crafting-tweaks,Crafting Tweaks,qol,default
shulkerboxtooltip,shulkerboxtooltip,ShulkerBoxTooltip,qol-client,default
modernfix,modernfix,ModernFix,performance,default
ferritecore,ferrite-core,FerriteCore,performance,default
embeddium,embeddium,Embeddium,performance-client,default
immediatelyfast,immediatelyfast,ImmediatelyFast,performance-client,default
entityculling,entityculling,Entity Culling,performance-client,default
clumps,clumps,Clumps,performance,default
spark,spark,spark,diagnostics,default
